x-axis,1,2,F1
second,Volt,Volt,Volt
-9.19000E-03,-2.44937697E+00,+2.37857046E+00,-4.81038427E+00
-9.18000E-03,-2.43932672E+00,+2.39867096E+00,-4.82014990E+00
-9.17000E-03,-2.45817094E+00,+2.37857046E+00,-4.82014990E+00
-9.16000E-03,-2.41922622E+00,+2.35972624E+00,-4.76057959E+00
-9.15000E-03,-2.43807044E+00,+2.37857046E+00,-4.79964209E+00
-9.14000E-03,-2.43932672E+00,+2.35846996E+00,-4.78011084E+00
-9.13000E-03,-2.43807044E+00,+2.36852021E+00,-4.78987646E+00
-9.12000E-03,-2.41922622E+00,+2.35846996E+00,-4.75960302E+00
-9.11000E-03,-2.41796993E+00,+2.35846996E+00,-4.75960302E+00
-9.10000E-03,-2.43807044E+00,+2.33962573E+00,-4.75960302E+00
-9.09000E-03,-2.42802019E+00,+2.33836945E+00,-4.74983740E+00
-9.08000E-03,-2.41796993E+00,+2.35846996E+00,-4.75960302E+00
-9.07000E-03,-2.39786943E+00,+2.34967599E+00,-4.72932959E+00
-9.06000E-03,-2.41796993E+00,+2.33836945E+00,-4.73909521E+00
-9.05000E-03,-2.39786943E+00,+2.34967599E+00,-4.73030615E+00
-9.04000E-03,-2.41796993E+00,+2.33836945E+00,-4.73909521E+00
-9.03000E-03,-2.39786943E+00,+2.34967599E+00,-4.73030615E+00
-9.02000E-03,-2.41796993E+00,+2.31952523E+00,-4.72054052E+00
-9.01000E-03,-2.40791968E+00,+2.31826895E+00,-4.70979834E+00
-9.00000E-03,-2.37902521E+00,+2.33836945E+00,-4.70003271E+00
-8.99000E-03,-2.38781918E+00,+2.31826895E+00,-4.68929052E+00
-8.98000E-03,-2.37902521E+00,+2.33836945E+00,-4.69905615E+00
-8.97000E-03,-2.37776893E+00,+2.33836945E+00,-4.69905615E+00
-8.96000E-03,-2.37776893E+00,+2.31826895E+00,-4.67952490E+00
-8.95000E-03,-2.38907546E+00,+2.30821870E+00,-4.67952490E+00
-8.94000E-03,-2.35892471E+00,+2.31826895E+00,-4.65901709E+00
-8.93000E-03,-2.37776893E+00,+2.28811820E+00,-4.64925146E+00
-8.92000E-03,-2.39786943E+00,+2.29816845E+00,-4.67952490E+00
-8.91000E-03,-2.36771868E+00,+2.30947498E+00,-4.65901709E+00
-8.90000E-03,-2.37776893E+00,+2.27806795E+00,-4.63948584E+00
-8.89000E-03,-2.36897496E+00,+2.29816845E+00,-4.65022802E+00
-8.88000E-03,-2.37776893E+00,+2.27932423E+00,-4.63948584E+00
-8.87000E-03,-2.36771868E+00,+2.27806795E+00,-4.62972021E+00
-8.86000E-03,-2.35766843E+00,+2.27932423E+00,-4.61995459E+00
-8.85000E-03,-2.35766843E+00,+2.26927398E+00,-4.60921240E+00
-8.84000E-03,-2.35766843E+00,+2.25922373E+00,-4.59944677E+00
-8.83000E-03,-2.34761818E+00,+2.26927398E+00,-4.59944677E+00
-8.82000E-03,-2.31872370E+00,+2.25922373E+00,-4.55940771E+00
-8.81000E-03,-2.34761818E+00,+2.26927398E+00,-4.59847021E+00
-8.80000E-03,-2.33756793E+00,+2.25796744E+00,-4.57893896E+00
-8.79000E-03,-2.32751767E+00,+2.26801770E+00,-4.57893896E+00
