x-axis,1,2
second,Volt,Volt
-50.00000E-03,+45.02512E-03,-3.89447E-03
-49.95000E-03,+45.02512E-03,-3.29146E-03
-49.90000E-03,+44.62311E-03,-2.68844E-03
-49.85000E-03,+44.52261E-03,-1.88442E-03
-49.80000E-03,+44.72362E-03,-1.28141E-03
-49.75000E-03,+45.32663E-03,-678.39E-06
-49.70000E-03,+44.72362E-03,-276.38E-06
-49.65000E-03,+44.22110E-03,+527.64E-06
-49.60000E-03,+44.32161E-03,+1.23115E-03
-49.55000E-03,+44.52261E-03,+1.83417E-03
-49.50000E-03,+44.82412E-03,+2.43718E-03
-49.45000E-03,+44.92462E-03,+3.24120E-03
-49.40000E-03,+45.22613E-03,+3.74372E-03
-49.35000E-03,+44.92462E-03,+4.24623E-03
-49.30000E-03,+44.52261E-03,+4.84924E-03
-49.25000E-03,+45.02512E-03,+5.45226E-03
-49.20000E-03,+44.92462E-03,+6.05527E-03
-49.15000E-03,+45.02512E-03,+6.55779E-03
-49.10000E-03,+44.72362E-03,+6.95980E-03
-49.05000E-03,+44.52261E-03,+7.66331E-03
-49.00000E-03,+44.62311E-03,+8.36683E-03
-48.95000E-03,+45.32663E-03,+8.86934E-03
-48.90000E-03,+44.62311E-03,+9.37186E-03
-48.85000E-03,+44.32161E-03,+9.77387E-03
-48.80000E-03,+44.22110E-03,+10.37688E-03
-48.75000E-03,+44.92462E-03,+10.77889E-03
-48.70000E-03,+44.42211E-03,+11.28140E-03
-48.65000E-03,+44.72362E-03,+11.48241E-03
-48.60000E-03,+44.82412E-03,+12.18593E-03
-48.55000E-03,+44.82412E-03,+12.78894E-03
-48.50000E-03,+44.72362E-03,+13.29145E-03
-48.45000E-03,+44.92462E-03,+13.69346E-03
-48.40000E-03,+45.42713E-03,+14.09547E-03
-48.35000E-03,+45.12563E-03,+14.49749E-03
-48.30000E-03,+44.12060E-03,+15.00000E-03
-48.25000E-03,+44.52261E-03,+15.30151E-03
-48.20000E-03,+44.62311E-03,+15.60301E-03
-48.15000E-03,+44.62311E-03,+15.80402E-03
-48.10000E-03,+44.52261E-03,+16.10553E-03
-48.05000E-03,+44.42211E-03,+16.40703E-03
-48.00000E-03,+43.81909E-03,+16.70854E-03
-47.95000E-03,+44.22110E-03,+17.01005E-03
-47.90000E-03,+44.62311E-03,+17.41206E-03
-47.85000E-03,+44.42211E-03,+17.61306E-03
-47.80000E-03,+45.22613E-03,+17.81407E-03
-47.75000E-03,+45.12563E-03,+18.01507E-03
-47.70000E-03,+44.52261E-03,+18.11558E-03
