x-axis,1,2
second,Volt,Volt
-10.00000E-03,+87.95980E-03,-5.84548E-03
-9.99000E-03,+88.36181E-03,-5.59422E-03
-9.98000E-03,+88.56282E-03,-5.34296E-03
-9.97000E-03,+88.56282E-03,-4.96608E-03
-9.96000E-03,+88.26131E-03,-4.71482E-03
-9.95000E-03,+88.46232E-03,-4.08668E-03
-9.94000E-03,+88.56282E-03,-3.70980E-03
-9.93000E-03,+88.46232E-03,-3.58417E-03
-9.92000E-03,+88.46232E-03,-3.33291E-03
-9.91000E-03,+88.46232E-03,-3.08166E-03
-9.90000E-03,+88.16081E-03,-2.95603E-03
-9.89000E-03,+88.06031E-03,-2.45352E-03
-9.88000E-03,+88.16081E-03,-2.20226E-03
-9.87000E-03,+88.46232E-03,-1.82538E-03
-9.86000E-03,+88.26131E-03,-1.32286E-03
-9.85000E-03,+88.16081E-03,-1.19724E-03
-9.84000E-03,+87.85930E-03,-569.09E-06
-9.83000E-03,+87.55779E-03,-443.47E-06
-9.82000E-03,+87.75880E-03,-317.84E-06
-9.81000E-03,+87.95980E-03,-66.58E-06
-9.80000E-03,+88.26131E-03,+184.67E-06
-9.79000E-03,+88.46232E-03,+435.93E-06
-9.78000E-03,+88.76382E-03,+687.19E-06
-9.77000E-03,+88.56282E-03,+1.18970E-03
-9.76000E-03,+88.66332E-03,+1.31533E-03
-9.75000E-03,+88.66332E-03,+1.81784E-03
-9.74000E-03,+88.76382E-03,+1.94347E-03
-9.73000E-03,+88.46232E-03,+2.19472E-03
-9.72000E-03,+88.36181E-03,+2.44598E-03
-9.71000E-03,+88.46232E-03,+2.57161E-03
-9.70000E-03,+88.46232E-03,+2.82287E-03
-9.69000E-03,+88.56282E-03,+3.19975E-03
-9.68000E-03,+88.66332E-03,+3.57663E-03
-9.67000E-03,+88.76382E-03,+3.95352E-03
-9.66000E-03,+88.66332E-03,+4.33040E-03
-9.65000E-03,+88.76382E-03,+4.45603E-03
-9.64000E-03,+88.76382E-03,+4.83292E-03
-9.63000E-03,+88.76382E-03,+4.83292E-03
-9.62000E-03,+88.36181E-03,+4.95854E-03
-9.61000E-03,+88.16081E-03,+5.08417E-03
-9.60000E-03,+87.95980E-03,+5.58668E-03
-9.59000E-03,+88.06031E-03,+5.96357E-03
-9.58000E-03,+88.26131E-03,+6.21482E-03
-9.57000E-03,+88.46232E-03,+6.46608E-03
-9.56000E-03,+88.56282E-03,+6.96859E-03
-9.55000E-03,+88.56282E-03,+7.09422E-03
-9.54000E-03,+88.66332E-03,+7.34548E-03
-9.53000E-03,+88.46232E-03,+7.34548E-03
-9.52000E-03,+88.56282E-03,+7.47111E-03
-9.51000E-03,+88.26131E-03,+7.97362E-03
-9.50000E-03,+88.36181E-03,+8.09925E-03
-9.49000E-03,+88.06031E-03,+8.60176E-03
-9.48000E-03,+87.95980E-03,+8.97864E-03
-9.47000E-03,+88.06031E-03,+9.10427E-03
-9.46000E-03,+88.06031E-03,+9.35553E-03
-9.45000E-03,+88.56282E-03,+9.60678E-03
-9.44000E-03,+88.96483E-03,+9.60678E-03
-9.43000E-03,+88.96483E-03,+9.73241E-03
-9.42000E-03,+88.56282E-03,+9.98367E-03
-9.41000E-03,+88.46232E-03,+10.10930E-03
-9.40000E-03,+88.76382E-03,+10.61181E-03
-9.39000E-03,+88.66332E-03,+10.73744E-03
-9.38000E-03,+88.46232E-03,+11.23995E-03
-9.37000E-03,+88.46232E-03,+11.23995E-03
-9.36000E-03,+88.56282E-03,+11.36558E-03
-9.35000E-03,+88.36181E-03,+11.61683E-03
-9.34000E-03,+88.26131E-03,+11.61683E-03
-9.33000E-03,+87.95980E-03,+11.86809E-03
-9.32000E-03,+88.46232E-03,+11.99372E-03
-9.31000E-03,+88.46232E-03,+12.24498E-03
-9.30000E-03,+88.36181E-03,+12.49623E-03
-9.29000E-03,+88.56282E-03,+12.99874E-03
-9.28000E-03,+88.86433E-03,+13.12437E-03
-9.27000E-03,+88.76382E-03,+13.50126E-03
-9.26000E-03,+88.66332E-03,+13.50126E-03
-9.25000E-03,+88.66332E-03,+13.50126E-03
-9.24000E-03,+88.66332E-03,+13.62689E-03
-9.23000E-03,+88.86433E-03,+13.87814E-03
-9.22000E-03,+88.96483E-03,+14.12940E-03
-9.21000E-03,+88.96483E-03,+14.25503E-03
-9.20000E-03,+88.86433E-03,+14.63191E-03
-9.19000E-03,+88.36181E-03,+15.00879E-03
-9.18000E-03,+88.56282E-03,+15.13442E-03
-9.17000E-03,+88.36181E-03,+15.13442E-03
-9.16000E-03,+88.16081E-03,+15.26005E-03
-9.15000E-03,+88.26131E-03,+15.38568E-03
-9.14000E-03,+88.76382E-03,+15.38568E-03
-9.13000E-03,+88.76382E-03,+15.63694E-03
-9.12000E-03,+88.86433E-03,+15.76256E-03
-9.11000E-03,+88.66332E-03,+16.13945E-03
-9.10000E-03,+88.56282E-03,+16.51633E-03
-9.09000E-03,+88.66332E-03,+16.76759E-03
-9.08000E-03,+88.66332E-03,+16.76759E-03
-9.07000E-03,+88.46232E-03,+16.89322E-03
-9.06000E-03,+88.46232E-03,+16.89322E-03
-9.05000E-03,+88.46232E-03,+17.01884E-03
-9.04000E-03,+88.46232E-03,+17.01884E-03
-9.03000E-03,+88.46232E-03,+17.14447E-03
-9.02000E-03,+88.46232E-03,+17.39573E-03
-9.01000E-03,+88.36181E-03,+17.77261E-03
-9.00000E-03,+88.46232E-03,+17.89824E-03
-8.99000E-03,+88.46232E-03,+18.14950E-03
-8.98000E-03,+88.46232E-03,+18.02387E-03
